Pteropodid-Plant Interactions Database 1985-2020													
S.A. Aziz, K.R. McConkey, K. Tanalgo, T. Sritongchuay, M-R. Low, J.Y. Yong, T.L. Mildenstein, C.E Nuevo-Diego, V.C. Lim & P.A. Racey													
													
Fr = fruit (including fig syconia); Fl = flower (including nectar and/or pollen); L = leaf; Se = seed ingested; B = bark; T = twigs; Sa = sap													
C = conflict; D = diet; FM = foraging movement; P = pollination; SD = seed dispersal; SG = seed/spore germination ; NOTE that 'aspect studied/recorded/observed' does not necessarily mean the bat was confirmed as playing that role.													
NB: Genus or species epithets followed by (?) are those that were either not found in theplantlist.org or are unresolved, and could not be definitively identified or confirmed.													
													
Pteropodid species	Plant family	Plant genus	Plant species	Fr	Fl	L	Se	B	T	Sa	Country/ Region	Reference	Aspect studied/recorded/observed
Eidolon helvum	Moraceae	Ficus	polita	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Moraceae	Ficus 	pungens	x			x				Kenya	Webala et al., 2014	D, SG
Eidolon helvum	Moraceae	Ficus	sur	x			x				Burkina Faso	van Toor et al., 2019	FM, SD
Eidolon helvum	Moraceae	Ficus	sur	x			x				Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Moraceae	Ficus	sur	x			x				Ghana	van Toor et al., 2019	FM, SD
Eidolon helvum	Moraceae	Ficus 	sur	x			x				Kenya	Webala et al., 2014	D, SG
Eidolon helvum	Moraceae	Ficus 	sycomorus	x			x				Kenya	Webala et al., 2014	D, SD, SG
Eidolon helvum	Moraceae	Ficus	tesselata	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Moraceae	Ficus	thonningii	x							Ghana	Fahr et al., 2015	D, FM
Eidolon helvum	Moraceae	Ficus	thonningii	x							Ghana	Abedi-Lartey, 2016	D, FM
Eidolon helvum	Moraceae	Ficus 	thonningii	x			x				Kenya	Webala et al., 2014	D, SG
Eidolon helvum	Moraceae	Ficus	trichopoda	x			x				Burkina Faso	van Toor et al., 2019	FM, SD
Eidolon helvum	Moraceae	Ficus	trichopoda	x			x				Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Moraceae	Ficus	trichopoda	x			x				Ghana	van Toor et al., 2019	FM, SD
Eidolon helvum	Moraceae	Ficus	umbellata	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Moraceae	Ficus	vallis-choudae	x							Ghana	Fahr et al., 2015	D, FM
Eidolon helvum	Moraceae	Ficus	vallis-choudae	x							Ghana	Abedi-Lartey, 2016	D, FM
Eidolon helvum	Moraceae	Ficus 	vallis-choudae	x			x				Kenya	Webala et al., 2014	D, SG
Eidolon helvum	Moraceae	Ficus	spp.	x							Zambia	Richter and Cumming, 2006	D, FM
Eidolon helvum	Moraceae	Milicia	excelsa	x			x				Burkina Faso	van Toor et al., 2019	FM, SD
Eidolon helvum	Moraceae	Milicia	excelsa	x			x				Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Moraceae	Milicia	excelsa	x			x				Ghana	van Toor et al., 2019	FM, SD
Eidolon helvum	Moraceae	Milicia	regia	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Moraceae	Morus 	alba	x			x				Kenya	Webala et al., 2014	D, SG
Eidolon helvum	Musaceae	Musa	sp.	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Myristicaceae	Pycnanthus	angolensis	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Myrtaceae	Psidium	guajava	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Myrtaceae	Psidium 	guajava	x			x				Kenya	Webala et al., 2014	D, SD, SG
Eidolon helvum	Myrtaceae	Syzygium 	cordatum	x			x				Kenya	Webala et al., 2014	D, SG
Eidolon helvum	Myrtaceae	Syzygium	cordatum	x							Zambia	Richter and Cumming, 2006	D, FM
Eidolon helvum	Myrtaceae	Syzygium 	guineense	x			x				Kenya	Webala et al., 2014	D, SD, SG
Eidolon helvum	Myrtaceae	Syzygium	guineense	x							Zambia	Richter and Cumming, 2006	D, FM
Eidolon helvum	Myrtaceae	Syzygium	guineense huillense	x							Zambia	Richter and Cumming, 2006	D, FM
Eidolon helvum	Pandaceae	Panda	oleosa	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Phyllanthaceae	Uapaca	benguelensis	x							Zambia	Richter and Cumming, 2006	D, FM
Eidolon helvum	Phyllanthaceae	Uapaca	kirkiana	x							Zambia	Richter and Cumming, 2006	D, FM
Eidolon helvum	Phyllanthaceae	Uapaca	nitida	x							Zambia	Richter and Cumming, 2006	D, FM
Eidolon helvum	Phyllanthaceae	Uapaca	sansibarica	x							Zambia	Richter and Cumming, 2006	D, FM
Eidolon helvum	Polygonaceae	Coccoloba	uvifera	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Rosaceae	Eriobotrya 	japonica	x			x				Kenya	Webala et al., 2014	D, SG
Eidolon helvum	Rosaceae	Rubus 	apetalus	x							Kenya	Webala et al., 2014	D, SD
Eidolon helvum	Rubiaceae	Vangueria 	apiculata	x							Kenya	Webala et al., 2014	D, SD
Eidolon helvum	Rutaceae	Toddalia 	asiatica	x			x				Kenya	Webala et al., 2014	D, SG
Eidolon helvum	Rutaceae	Vepris 	nobilis	x							Kenya	Webala et al., 2014	D, SD
Eidolon helvum	Rutaceae	Vepris 	trichocarpa	x							Kenya	Webala et al., 2014	D, SD
Eidolon helvum	Salicaceae	Flacourtia 	indica	x			x				Kenya	Webala et al., 2014	D, SG
Eidolon helvum	Sapindaceae	Allophylus 	ferrugineus	x							Kenya	Webala et al., 2014	D, SD
Eidolon helvum	Sapindaceae	Blighia	sapida	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Sapotaceae	Vitellaria	paradoxa	x							Benin	Djossa et al., 2008	D, SG
Eidolon helvum	Sapotaceae	Vitellaria	paradoxa	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	Urticaceae	Musanga	cecropioides	x							Ghana	Abedi-Lartey et al., 2016	D, FM, SD
Eidolon helvum	unknown	unknown	unknown	x							Zambia	Richter and Cumming, 2008	D, FM
Eidolon helvum	unknown	unknown	unknown	unknown							Burkina Faso	Calderón-Capote et al., 2020	FM
Eidolon helvum	unknown	unknown	unknown	unknown							Ghana	Calderón-Capote et al., 2020	FM
Eidolon helvum	unknown	unknown	unknown	unknown							Zambia	Calderón-Capote et al., 2020	FM
Eonycteris spelaea	Amaranthaceae	Beta	vulgaris	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Amaranthaceae	Cyathula	prostrata	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Anacardiaceae	Mangifera	indica	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Apiaceae	Cuminum	cyminum	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Apiaceae	Foeniculum	vulgare	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Araliaceae	Schefflera	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Arecaceae	Arenga	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Arecaceae	Arenga	spp.		x						Thailand	Bumrungsri et al., 2013	D
Eonycteris spelaea	Arecaceae	Cocos	nucifera		x						Thailand	Bumrungsri et al., 2013	D
Eonycteris spelaea	Arecaceae	Cocos	nucifera	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Asteraceae	Bidens	pilosa	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Asteraceae	Chrysanthemum	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Asteraceae	Mikania	micrantha	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Asteraceae	unknown	unknown	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Athyriaceae	Diplazium	esculentum	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Bignoniaceae	Oroxylum	indicum		x						Cambodia	Thavry et al., 2017	D
Eonycteris spelaea	Bignoniaceae	Oroxylum	indicum		x						Thailand	Sritongchuay et al., 2008	P
Eonycteris spelaea	Bignoniaceae	Oroxylum	indicum		x						Thailand	Bumrungsri et al., 2013	D
Eonycteris spelaea	Bignoniaceae	Oroxylum	indicum		x						Thailand	Stewart et al., 2014	D, FM
Eonycteris spelaea	Bignoniaceae	Oroxylum	indicum		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Eonycteris spelaea	Bignoniaceae	Oroxylum	indicum		x						Thailand	Stewart and Dudash, 2016	FM, P
Eonycteris spelaea	Bignoniaceae	Oroxylum	indicum		x						Thailand	Stewart and Dudash, 2017a	P
Eonycteris spelaea	Bignoniaceae	Oroxylum	indicum		x						Thailand	Stewart and Dudash, 2018	D, FM
Eonycteris spelaea	Bignoniaceae	Oroxylum	indicum		x						Thailand	Chaiyarat et al., 2019	D
Eonycteris spelaea	Bignoniaceae	Oroxylum	indicum	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Cannabaceae	Trema	cannabina	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Caricaceae	Carica	papaya	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Cyatheaceae	unknown	unknown	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Euphorbiaceae	Croton	argyratus	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Euphorbiaceae	Macaranga	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Euphorbiaceae	Mallotus	paniculatus	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Fabaceae	Acacia	sp.		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Eonycteris spelaea	Fabaceae	Bauhinia	strychnoidea	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Fabaceae	Leucaena	leucocephala	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Fabaceae	Parkia	javanica		x						Malaysia (Peninsula)	Hodgkison et al., 2004	D
Eonycteris spelaea	Fabaceae	Parkia	speciosa		x						Malaysia (Peninsula)	Hodgkison et al., 2004	D
Eonycteris spelaea	Fabaceae	Parkia	speciosa		x						Thailand	Bumrungsri et al., 2008	FM, P
Eonycteris spelaea	Fabaceae	Parkia	speciosa		x						Thailand	Bumrungsri et al., 2013	D
Eonycteris spelaea	Fabaceae	Parkia	speciosa		x						Thailand	Stewart et al., 2014	D, FM
Eonycteris spelaea	Fabaceae	Parkia	speciosa		x						Thailand	Acharya et al., 2015a	FM, P
Eonycteris spelaea	Fabaceae	Parkia	speciosa		x						Thailand	Acharya et al., 2015b	FM
Eonycteris spelaea	Fabaceae	Parkia 	speciosa		x						Thailand	Stewart and Dudash, 2016	FM, P
Eonycteris spelaea	Fabaceae	Parkia 	speciosa		x						Thailand	Stewart and Dudash, 2017a	P
Eonycteris spelaea	Fabaceae	Parkia 	speciosa		x						Thailand	Stewart and Dudash, 2016	FM, P
Eonycteris spelaea	Fabaceae	Parkia	timoriana		x						Thailand	Bumrungsri et al., 2008	FM, P
Eonycteris spelaea	Fabaceae	Parkia	timoriana		x						Thailand	Bumrungsri et al., 2013	D
Eonycteris spelaea	Fabaceae	Parkia	timoriana		x						Thailand	Stewart and Dudash, 2016	FM, P
Eonycteris spelaea	Fabaceae	Parkia	timoriana		x						Thailand	Stewart and Dudash, 2017a	P
Eonycteris spelaea	Fabaceae	Parkia	sp.		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Eonycteris spelaea	Fabaceae	Parkia	sp.		x						Thailand	Acharya et al., 2015b	FM
Eonycteris spelaea	Fabaceae	Parkia	spp.		x						Cambodia	Thavry et al., 2017	D
Eonycteris spelaea	Fabaceae	Parkia	spp.		x						Thailand	Stewart and Dudash, 2018	D, FM
Eonycteris spelaea	Fabaceae	Parkia	spp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Gentianaceae	Fagraea	crenulata	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Gleicheniaceae	Dicranopteris	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Lamiaceae	Vitex	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Lejeuneaceae	unknown	unknown	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Lythraceae	Duabanga	grandiflora	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Lythraceae	Laegerstroemia	speciosa	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Lythraceae	Punica	granatum	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Lythraceae	Sonneratia	alba		x						Malaysia (Peninsula)	Nor Zalipah et al., 2016	P
Eonycteris spelaea	Lythraceae	Sonneratia	alba	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Lythraceae	Sonneratia	caseolaris		x						Malaysia (Peninsula)	Nor Zalipah et al., 2016	P
Eonycteris spelaea	Lythraceae	Sonneratia	caseolaris	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Lythraceae	Sonneratia	ovata		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Eonycteris spelaea	Lythraceae	Sonneratia	sp.		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Eonycteris spelaea	Lythraceae	Sonneratia	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Lythraceae	Sonneratia	spp.		x						Cambodia	Thavry et al., 2017	D
Eonycteris spelaea	Lythraceae	Sonneratia	spp.		x						Thailand	Bumrungsri et al., 2013	D
Eonycteris spelaea	Lythraceae	Sonneratia	spp.		x						Thailand	Acharya et al., 2015b	FM
Eonycteris spelaea	Lythraceae	Sonneratia	spp.		x						Thailand	Stewart and Dudash, 2016	FM, P
Eonycteris spelaea	Lythraceae	Sonneratia	spp.		x						Thailand	Stewart and Dudash, 2018	D, FM
Eonycteris spelaea	Malvaceae	Bombax	anceps		x						Cambodia	Thavry et al., 2017	D
Eonycteris spelaea	Malvaceae	Bombax	anceps	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Malvaceae	Bombax	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Malvaceae	Bombax	spp.		x						Thailand	Bumrungsri et al., 2013	D
Eonycteris spelaea	Malvaceae	Ceiba	pentandra		x						Cambodia	Thavry et al., 2017	D
Eonycteris spelaea	Malvaceae	Ceiba	pentandra		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Eonycteris spelaea	Malvaceae	Ceiba	pentandra		x						Thailand	Bumrungsri et al., 2013	D
Eonycteris spelaea	Malvaceae	Ceiba	pentandra		x						Thailand	Stewart and Dudash, 2016	FM, P
Eonycteris spelaea	Malvaceae	Ceiba	pentandra		x						Thailand	Stewart and Dudash, 2017a	P
Eonycteris spelaea	Malvaceae	Ceiba 	pentandra		x						Thailand	Stewart and Dudash, 2016	FM, P
Eonycteris spelaea	Malvaceae	Ceiba 	pentandra		x						Thailand	Stewart and Dudash, 2018	D, FM
Eonycteris spelaea	Malvaceae	Ceiba 	pentandra	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Malvaceae	Ceiba	sp.		x						Thailand	Acharya et al., 2015b	FM
Eonycteris spelaea	Malvaceae	Durio	zibethinus		x						Cambodia	Thavry et al., 2017	D
Eonycteris spelaea	Malvaceae	Durio	zibethinus		x						Indonesia (Sulawesi)	Sheherazade et al., 2019	P
Eonycteris spelaea	Malvaceae	Durio	zibethinus		x						Malaysia (Peninsula)	Aziz et al., 2017c	FM, P
Eonycteris spelaea	Malvaceae	Durio	zibethinus		x						Thailand	Bumrungsri et al., 2009	FM, P
Eonycteris spelaea	Malvaceae	Durio	zibethinus		x						Thailand	Bumrungsri et al., 2013	D
Eonycteris spelaea	Malvaceae	Durio	zibethinus		x						Thailand	Acharya et al., 2015a	FM, P
Eonycteris spelaea	Malvaceae	Durio	zibethinus		x						Thailand	Acharya et al., 2015b	FM
Eonycteris spelaea	Malvaceae	Durio	zibethinus		x						Thailand	Stewart and Dudash, 2016	FM, P
Eonycteris spelaea	Malvaceae	Durio	zibethinus		x						Thailand	Stewart and Dudash, 2017a	P
Eonycteris spelaea	Malvaceae	Durio 	zibethinus		x						Thailand	Stewart and Dudash, 2016	FM, P
Eonycteris spelaea	Malvaceae	Durio 	zibethinus		x						Thailand	Stewart and Dudash, 2018	D, FM
Eonycteris spelaea	Malvaceae	Durio 	zibethinus		x						Thailand	Chaiyarat et al., 2019	D, FM, P
Eonycteris spelaea	Malvaceae	Durio	sp.		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Eonycteris spelaea	Malvaceae	Durio	spp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Moraceae	Artocarpus 	elasticus	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Moraceae	Artocarpus 	heterophyllus	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Moraceae	Artocarpus 	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Moraceae	Ficus	benjamina	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Moraceae	Ficus	calcicola	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Moraceae	Ficus	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Musaceae	Musa	acuminata		x						Thailand	Stewart et al., 2014	D, FM
Eonycteris spelaea	Musaceae	Musa	acuminata		x						Thailand	Stewart and Dudash, 2016	FM, P
Eonycteris spelaea	Musaceae	Musa	acuminata		x						Thailand	Stewart and Dudash, 2017a	P
Eonycteris spelaea	Musaceae	Musa 	acuminata		x						Thailand	Stewart and Dudash, 2016	FM, P
Eonycteris spelaea	Musaceae	Musa 	acuminata		x						Thailand	Stewart and Dudash, 2018	D, FM
Eonycteris spelaea	Musaceae	Musa 	acuminata	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Musaceae	Musa 	balbisiana	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Musaceae	Musa	sp.		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Eonycteris spelaea	Musaceae	Musa	sp.		x						Thailand	Chaiyarat et al., 2019	D
Eonycteris spelaea	Musaceae	Musa	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Musaceae	Musa	spp.		x						Cambodia	Thavry et al., 2017	D
Eonycteris spelaea	Musaceae	Musa	spp.		x						Thailand	Bumrungsri et al., 2013	D
Eonycteris spelaea	Musaceae	Musa	spp.		x						Thailand	Acharya et al., 2015b	FM
Eonycteris spelaea	Myrtaceae	Eucalyptus	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Myrtaceae	Eucalyptus	spp.		x						Cambodia	Thavry et al., 2017	D
Eonycteris spelaea	Myrtaceae	Syzygium	jambos	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Myrtaceae	Syzygium	malaccense	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Myrtaceae	Syzygium	samarangense	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Myrtaceae	Syzygium	sp.		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Eonycteris spelaea	Myrtaceae	Syzygium	sp.		x						Thailand	Acharya et al., 2015b	FM
Eonycteris spelaea	Myrtaceae	Syzygium	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Myrtaceae	Syzygium	spp.		x						Thailand	Bumrungsri et al., 2013	D
Eonycteris spelaea	Myrtaceae	Xanthostemon	chrysanthus	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Piperaceae	Piper	aduncum	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Pteridaceae	Adiantum	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Rosaceae	Pyrus	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Rubiaceae	Oldenlandia	corymbosa	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Rubiaceae	Urophyllum	leucophlaeum	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Rutaceae	Citrus	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Sapindaceae	Dimocarpus	longan	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Sapindaceae	Nephelium	ramboutan-ake	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Sapotaceae	Manilkara	zapota	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Sapotaceae	Manilkara	zapota		x						Philippines (Mindanao)	Bacordo et al., 2019	D, FM
Eonycteris spelaea	Sapotaceae	Mimusops	elengi	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Sapotaceae	Palaquium	hispidum		x						Malaysia (Peninsula)	Hodgkison et al., 2004	D
Eonycteris spelaea	Sapotaceae	Palaquium	obovatum	x	x						Malaysia (Peninsula)	Hodgkison et al., 2004	D
Eonycteris spelaea	Sapotaceae	unknown	unknown	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Tectariaceae	Pleocnemia	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Thelypteridaceae	unknown	unknown	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	Zingiberaceae	Etlingera	sp.	unknown							Malaysia (Peninsula)	Lim et al., 2018b	D
Eonycteris spelaea	unknown	unknown	unknown		x						Indonesia (Java)	Soegiharto et al., 2010	D
Eonycteris spelaea	unknown	unknown	unknown		x						Indonesia (Lombok)	Kitchener et al., 1990	D
Eonycteris spelaea	unknown	unknown	unknown	unknown							Thailand	Sritongchuay et al., 2019b	P
Epomophorus crypturus	Anacardiaceae	Sclerocarya	birrea	x							South Africa	Bonaccorso et al., 2014	D
Epomophorus crypturus	Moraceae	Ficus	sycomorus	x							South Africa	Bonaccorso et al., 2014	FM, SD, SG
Epomophorus crypturus	Zygophyllaceae	Balanites	maughamii			x					South Africa	Bonaccorso et al., 2014	FM
Epomophorus gambianus	Anacardiaceae	Anacardium	occidentale	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Anacardiaceae	Mangifera	indica	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Anacardiaceae	Spondias	mombin	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Annonaceae	Annona	muricata	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Annonaceae	Polyalthia	longifolia	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Bignoniaceae	Spathodea	campanulata		x						Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Caricaceae	Carica	papaya	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Combretaceae	Terminalia	catappa	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Cucurbitaceae	Melothria	sp.	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Fabaceae	Daniellia	oliveri		x						Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Fabaceae	Parkia	biglobosa		x						Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Gentianaceae	Anthocleista	vogelii	x	x						Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Lamiaceae	Vitex	doniana	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Malvaceae	Adansonia	digitata		x						Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Malvaceae	Bombax	buonopozense		x						Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Malvaceae	Ceiba	pentandra		x						Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Malvaceae	Sterculia	rhinopetala	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Meliaceae	Azadirachta	indica	x	x						Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Moraceae	Antiaris	toxicaria	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Moraceae	Ficus	spp. (5)	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Moraceae	Milicia	excelsa	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Musaceae	Musa	sp.	x	x						Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Myrtaceae	Psidium	guajava	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Myrtaceae	Syzygium	sp.	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Sapotaceae	Vitellaria	paradoxa	x							Benin	Djossa et al., 2008	D, SG
Epomophorus gambianus	Solanaceae	Solanum	sp.	x							Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus gambianus	Verbenaceae	unknown	unknown	x	x						Ghana	Amponsah-Mensah et al., 2019	D
Epomophorus wahlbergi	Anacardiaceae	Sclerocarya	birrea	x							South Africa	Bonaccorso et al., 2014	FM
Epomophorus wahlbergi 	Meliaceae	Melia 	azedarach	x			x				South Africa	Voigt et al., 2011	SD, SG
Epomophorus wahlbergi	Meliaceae	Melia	azedarach	x							South Africa	Jordaan et al., 2012	D, SG
Epomophorus wahlbergi	Meliaceae	Melia	azedarach	x							South Africa	Rollinson et al., 2013	D, FM
Epomophorus wahlbergi	Moraceae	Ficus	natalensis	x							South Africa	Rollinson et al., 2013	D, FM
Epomophorus wahlbergi	Moraceae	Ficus	pumila	x							South Africa	Rollinson et al., 2013	D, FM
Epomophorus wahlbergi	Moraceae	Ficus	sur	x							South Africa	Rollinson et al., 2013	D, FM
Epomophorus wahlbergi	Moraceae	Ficus	sur	x							Tanzania	Helbig-Bonitz et al., 2013	SG
Epomophorus wahlbergi	Moraceae	Ficus	sycomorus	x							South Africa	Fenton et al., 1985	FM, SD
Epomophorus wahlbergi	Moraceae	Ficus	sycomorus	x			x				South Africa	Bonaccorso et al., 2014	FM, SD, SG
Epomophorus wahlbergi	Moraceae	Ficus	spp.	x							South Africa	Rollinson et al., 2013	D, FM
Epomophorus wahlbergi	Moraceae	Morus	alba	x			x				South Africa	Jordaan et al., 2012	D, SG
Epomophorus wahlbergi	Myrtaceae	Psidium	guajava	x							South Africa	Jordaan et al., 2012	D, SG
